Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn/Winter 17/18,Basak Can-Unsang MPA,34.64,21,12.36,2.7,29.02,40.27,31.95,37.34,4.44,21,3.66,0.8,2.78,6.11,3.64,5.24,5.91,21,5.77,1.26,3.29,8.54,4.65,7.17,7.42,21,8.43,1.84,3.58,11.26,5.58,9.26,2.34,21,3.03,0.66,0.96,3.72,1.68,3.0
Spring/Summer 18,Basak Can-Unsang MPA,27.28,26,13.03,2.56,22.01,32.54,24.72,29.83,8.85,26,12.87,2.52,3.65,14.04,6.32,11.37,16.76,26,12.29,2.41,11.8,21.73,14.35,19.17,6.6,26,6.7,1.31,3.89,9.31,5.29,7.92,1.41,26,2.84,0.56,0.26,2.56,0.85,1.97
Autumn/Winter 18/19,Basak Can-Unsang MPA,20.32,21,7.11,1.55,17.08,23.56,18.77,21.87,2.7,21,5.1,1.11,0.38,5.02,1.58,3.81,17.1,21,9.95,2.17,12.58,21.63,14.93,19.27,11.47,21,6.17,1.35,8.66,14.28,10.12,12.82,0.83,21,1.09,0.24,0.34,1.33,0.6,1.07
Spring/Summer 19,Basak Can-Unsang MPA,20.58,20,7.97,1.78,16.85,24.31,18.8,22.37,4.96,20,9.64,2.16,0.45,9.47,2.8,7.11,12.58,20,5.39,1.21,10.06,15.11,11.38,13.79,13.71,20,9.73,2.18,9.16,18.26,11.53,15.88,0.83,20,1.4,0.31,0.18,1.49,0.52,1.15
Autumn/Winter 19/20,Basak Can-Unsang MPA,24.84,26,13.68,2.68,19.31,30.37,22.16,27.52,2.72,26,4.21,0.83,1.03,4.42,1.9,3.55,12.12,26,6.63,1.3,9.44,14.79,10.82,13.42,9.13,26,8.05,1.58,5.88,12.39,7.56,10.71,1.76,26,1.77,0.35,1.05,2.48,1.42,2.11
Spring/Summer 22,Basak Can-Unsang MPA,20.79,36,9.69,1.62,17.51,24.07,19.17,22.4,3.54,36,5.26,0.88,1.76,5.32,2.66,4.42,12.69,36,10.17,1.69,9.25,16.13,10.99,14.38,11.46,36,8.73,1.46,8.5,14.41,10.0,12.91,5.58,36,6.15,1.02,3.5,7.66,4.55,6.6
Autumn/Winter 22/23,Basak Can-Unsang MPA,18.85,26,8.8,1.73,15.29,22.4,17.12,20.57,2.31,26,3.43,0.67,0.92,3.69,1.64,2.98,14.33,26,8.86,1.74,10.75,17.91,12.59,16.07,12.69,26,7.59,1.49,9.63,15.76,11.2,14.18,6.03,26,5.08,1.0,3.97,8.08,5.03,7.02
Spring/Summer 23,Basak Can-Unsang MPA,18.13,37,8.07,1.33,15.44,20.82,16.8,19.46,3.56,37,4.85,0.8,1.94,5.17,2.76,4.36,11.85,37,6.64,1.09,9.63,14.06,10.76,12.94,13.02,37,10.67,1.75,9.46,16.58,11.26,14.77,5.11,37,5.42,0.89,3.31,6.92,4.22,6.0
Autumn/Winter 23/24,Basak Can-Unsang MPA,14.53,16,7.8,1.95,10.38,18.69,12.58,16.48,3.7,16,3.32,0.83,1.93,5.47,2.87,4.53,11.25,16,6.95,1.74,7.55,14.95,9.51,12.99,20.89,16,10.02,2.5,15.55,26.22,18.38,23.39,0.94,16,1.52,0.38,0.13,1.75,0.56,1.32
Spring/Summer 24,Basak Can-Unsang MPA,16.8,19,7.22,1.66,13.32,20.28,15.14,18.45,4.61,19,4.53,1.04,2.42,6.79,3.57,5.64,14.69,19,12.24,2.81,8.79,20.59,11.88,17.5,11.71,19,10.28,2.36,6.75,16.67,9.35,14.07,1.62,19,1.65,0.38,0.83,2.42,1.24,2.0
Autumn/Winter 24/25,Basak Can-Unsang MPA,14.64,14,6.6,1.76,10.83,18.45,12.88,16.41,1.61,14,1.92,0.51,0.5,2.72,1.09,2.12,15.54,14,9.48,2.53,10.06,21.01,13.0,18.07,17.02,14,8.98,2.4,11.84,22.21,14.62,19.42,0.3,14,0.53,0.14,0.0,0.6,0.16,0.44
Spring/Summer 25,Basak Can-Unsang MPA,15.72,23,10.71,2.23,11.09,20.36,13.49,17.96,1.3,23,1.74,0.36,0.55,2.06,0.94,1.67,10.07,23,4.01,0.84,8.34,11.81,9.24,10.91,16.34,23,9.97,2.08,12.03,20.65,14.26,18.42,0.47,23,1.37,0.29,0.0,1.06,0.18,0.76
