Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Spring 2022,Andulay MPA,13.83,6,7.55,3.08,5.91,21.75,10.75,16.91,10.17,6,6.18,2.52,3.68,16.65,7.64,12.69,15.5,6,7.2,2.94,7.94,23.06,12.56,18.44,43.5,6,18.59,7.59,23.99,63.01,35.91,51.09,1236.33,6,459.49,187.58,754.13,1718.54,1048.75,1423.92,1319.33,6,464.79,189.75,831.57,1807.1,1129.58,1509.08,18.83,6,7.44,3.04,11.03,26.64,15.8,21.87,247.83,6,52.58,21.46,192.66,303.01,226.37,269.3,8.86,6,8.7,3.55,0.0,17.99,5.3,12.41,49,6,8.17,31.0,2.0,15.5,38.0,2.0,19.0,33.0,2.0,16.5
Summer 2022,Andulay MPA,17.73,15,7.84,2.02,13.39,22.08,15.71,19.76,11.73,15,8.72,2.25,6.9,16.56,9.48,13.99,19.87,15,10.44,2.7,14.09,25.65,17.17,22.56,138.67,15,141.55,36.55,60.28,217.05,102.12,175.21,735.47,15,236.42,61.04,604.54,866.39,674.42,796.51,923.47,15,324.03,83.66,744.03,1102.91,839.8,1007.13,12.89,15,9.12,2.35,7.83,17.94,10.53,15.24,131.67,15,159.87,41.28,43.13,220.2,90.39,172.95,6.41,15,8.39,2.17,1.77,11.06,4.24,8.58,54,15,3.6,37.0,5.0,7.4,41.0,5.0,8.2,45.0,5.0,9.0
Autumn 2022,Andulay MPA,26.45,11,17.34,5.23,14.81,38.1,21.23,31.68,22.36,11,11.13,3.36,14.89,29.84,19.01,25.72,42.0,11,21.55,6.5,27.52,56.48,35.5,48.5,210.36,11,81.67,24.62,155.5,265.23,185.74,234.99,1475.82,11,582.03,175.49,1084.8,1866.83,1300.33,1651.31,1777.0,11,654.14,197.23,1337.54,2216.46,1579.77,1974.23,44.72,11,32.81,9.89,22.67,66.76,34.82,54.61,221.73,11,234.21,70.62,64.38,379.07,151.11,292.34,22.37,11,24.38,7.35,5.99,38.76,15.02,29.73,60,11,5.45,46.0,5.0,9.2,49.0,4.0,12.25,34.0,2.0,17.0
Winter 22/23,Andulay MPA,13.62,13,11.19,3.1,6.85,20.38,10.51,16.72,15.08,13,7.47,2.07,10.57,19.59,13.01,17.15,20.69,13,11.9,3.3,13.5,27.88,17.39,23.99,107.08,13,54.6,15.14,74.08,140.07,91.93,122.22,832.08,13,496.38,137.67,532.12,1132.04,694.41,969.75,988.54,13,534.28,148.18,665.68,1311.4,840.36,1136.72,13.56,13,12.67,3.52,5.9,21.22,10.05,17.08,83.46,13,82.75,22.95,33.46,133.47,60.51,106.41,4.17,13,5.2,1.44,1.03,7.32,2.73,5.62,63,13,4.85,38.0,5.0,7.6,43.0,3.0,14.33,47.0,5.0,9.4
Spring 2023,Andulay MPA,14.94,16,6.43,1.61,11.51,18.37,13.33,16.55,13.44,16,7.09,1.77,9.66,17.22,11.67,15.21,17.06,16,10.45,2.61,11.49,22.63,14.45,19.68,52.69,16,33.31,8.33,34.94,70.44,44.36,61.01,536.12,16,248.87,62.22,403.51,668.74,473.91,598.34,634.25,16,259.77,64.94,495.83,772.67,569.31,699.19,17.27,16,17.14,4.29,8.14,26.4,12.98,21.55,58.5,16,51.9,12.97,30.84,86.16,45.53,71.47,7.46,16,17.34,4.34,0.0,16.7,3.12,11.79,53,16,3.31,39.0,5.0,7.8,45.0,5.0,9.0,41.0,6.0,6.83
Summer 2023,Andulay MPA,18.18,11,10.49,3.16,11.14,25.23,15.02,21.34,18.27,11,10.85,3.27,10.98,25.56,15.0,21.55,22.09,11,15.0,4.52,12.02,32.17,17.57,26.61,144.73,11,70.49,21.25,97.37,192.08,123.47,165.98,839.64,11,464.76,140.13,527.41,1151.87,699.51,979.77,1042.91,11,471.65,142.21,726.05,1359.77,900.7,1185.12,16.01,11,9.19,2.77,9.84,22.18,13.24,18.78,71.36,11,48.28,14.56,38.93,103.8,56.81,85.92,6.23,11,4.56,1.37,3.17,9.3,4.86,7.61,54,11,4.91,30.0,3.0,10.0,45.0,3.0,15.0,40.0,5.0,8.0
Autumn 2023,Andulay MPA,19.5,6,6.53,2.67,12.64,26.36,16.83,22.17,21.5,6,6.28,2.57,14.9,28.1,18.93,24.07,23.17,6,10.11,4.13,12.56,33.77,19.04,27.29,175.5,6,82.89,33.84,88.51,262.49,141.66,209.34,815.33,6,101.32,41.36,709.01,921.66,773.97,856.7,1055.0,6,108.8,44.42,940.82,1169.18,1010.58,1099.42,17.89,6,5.91,2.41,11.69,24.09,15.47,20.3,77.33,6,33.15,13.53,42.54,112.12,63.8,90.87,8.13,6,4.95,2.02,2.93,13.32,6.1,10.15,33,6,5.5,25.0,2.0,12.5,31.0,2.0,15.5,29.0,2.0,14.5
Winter 23/24,Andulay MPA,19.53,17,24.73,6.0,6.81,32.25,13.53,25.53,18.76,17,12.05,2.92,12.57,24.96,15.84,21.69,12.76,17,10.59,2.57,7.32,18.21,10.2,15.33,122.0,17,95.13,23.07,73.09,170.91,98.93,145.07,626.59,17,275.2,66.75,485.09,768.08,559.84,693.33,799.65,17,289.22,70.15,650.94,948.35,729.5,869.79,11.95,17,4.73,1.15,9.52,14.38,10.81,13.1,57.41,17,51.04,12.38,31.17,83.66,45.03,69.79,3.96,17,3.3,0.8,2.26,5.66,3.16,4.76,37,17,2.18,29.0,7.0,4.14,30.0,6.0,5.0,29.0,4.0,7.25
Spring 2024,Andulay MPA,13.3,10,8.86,2.8,6.96,19.64,10.5,16.1,16.6,10,7.71,2.44,11.09,22.11,14.16,19.04,16.7,10,9.64,3.05,9.81,23.59,13.65,19.75,200.5,10,126.63,40.04,109.92,291.08,160.46,240.54,757.9,10,527.48,166.8,380.57,1135.23,591.1,924.7,1005.0,10,602.19,190.43,574.22,1435.78,814.57,1195.43,27.03,10,18.24,5.77,13.98,40.07,21.26,32.79,162.8,10,174.62,55.22,37.88,287.72,107.58,218.02,14.84,10,13.61,4.3,5.1,24.57,10.53,19.14,37,10,3.7,23.0,2.0,11.5,31.0,2.0,15.5,26.0,6.0,4.33
Summer 2024,Andulay MPA,16.4,10,12.19,3.86,7.68,25.12,12.54,20.26,17.9,10,8.96,2.83,11.49,24.31,15.07,20.73,19.3,10,9.07,2.87,12.81,25.79,16.43,22.17,133.2,10,53.94,17.06,94.61,171.79,116.14,150.26,926.7,10,403.05,127.45,638.38,1215.02,799.25,1054.15,1113.5,10,439.15,138.87,799.35,1427.65,974.63,1252.37,11.21,10,5.15,1.63,7.52,14.89,9.58,12.84,127.6,10,190.61,60.28,0.0,263.95,67.32,187.88,3.68,10,2.74,0.87,1.72,5.64,2.82,4.55,32,10,3.2,27.0,2.0,13.5,25.0,3.0,8.33,29.0,5.0,5.8
Autumn 2024,Andulay MPA,11.46,13,6.4,1.77,7.6,15.33,9.69,13.24,12.23,13,7.57,2.1,7.65,16.81,10.13,14.33,12.69,13,5.89,1.63,9.13,16.25,11.06,14.33,99.62,13,71.86,19.93,56.19,143.04,79.69,119.54,710.46,13,292.01,80.99,534.0,886.92,629.47,791.45,846.46,13,292.41,81.1,669.76,1023.16,765.36,927.56,14.81,13,12.07,3.35,7.51,22.11,11.46,18.16,77.23,13,118.3,32.81,5.74,148.72,44.42,110.04,6.22,13,9.84,2.73,0.28,12.17,3.49,8.95,33,13,2.54,23.0,4.0,5.75,31.0,5.0,6.2,30.0,4.0,7.5
Winter 24/25,Andulay MPA,11.28,18,6.57,1.55,8.01,14.54,9.73,12.83,9.83,18,4.06,0.96,7.81,11.85,8.88,10.79,16.39,18,6.93,1.63,12.94,19.83,14.76,18.02,86.89,18,45.21,10.66,64.41,109.37,76.23,97.54,583.39,18,256.05,60.35,456.06,710.72,523.04,643.74,707.78,18,241.38,56.89,587.74,827.81,650.88,764.67,17.27,18,14.17,3.34,10.23,24.32,13.93,20.61,72.11,18,103.71,24.44,20.54,123.68,47.67,96.55,6.85,18,8.36,1.97,2.7,11.01,4.88,8.82,39,18,2.17,35.0,6.0,5.83,29.0,6.0,4.83,32.0,6.0,5.33
Spring 2025,Andulay MPA,10.79,19,5.69,1.31,8.05,13.53,9.48,12.1,9.16,19,5.54,1.27,6.49,11.83,7.89,10.43,12.63,19,7.99,1.83,8.78,16.48,10.8,14.46,87.79,19,58.35,13.39,59.67,115.91,74.4,101.18,588.63,19,162.99,37.39,510.07,667.19,551.24,626.02,709.0,19,164.7,37.78,629.62,788.38,671.22,746.78,12.53,19,7.11,1.63,9.1,15.96,10.9,14.17,77.26,19,89.55,20.54,34.1,120.43,56.72,97.81,6.25,19,5.81,1.33,3.45,9.05,4.92,7.58,33,19,1.74,25.0,6.0,4.17,27.0,6.0,4.5,26.0,7.0,3.71
Summer 2025,Andulay MPA,10.63,19,4.73,1.08,8.35,12.91,9.55,11.72,13.47,19,7.68,1.76,9.77,17.18,11.71,15.24,16.47,19,9.23,2.12,12.03,20.92,14.36,18.59,135.37,19,95.19,21.84,89.49,181.25,113.53,157.21,686.11,19,253.1,58.07,564.11,808.1,628.04,744.17,862.05,19,303.61,69.65,715.72,1008.39,792.4,931.71,12.29,19,8.09,1.86,8.39,16.19,10.43,14.14,63.26,19,53.79,12.34,37.34,89.19,50.92,75.6,6.35,19,6.05,1.39,3.43,9.26,4.96,7.74,34,19,1.79,28.0,6.0,4.67,28.0,7.0,4.0,28.0,6.0,4.67
