Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Spring 2022,Basak Can-Unsang MPA,21.25,12,15.12,4.37,11.64,30.86,16.88,25.62,11.25,12,12.08,3.49,3.58,18.92,7.76,14.74,13.42,12,15.47,4.47,3.59,23.25,8.95,17.88,85.0,12,66.09,19.08,43.01,126.99,65.92,104.08,734.92,12,576.43,166.4,368.67,1101.16,568.52,901.32,865.83,12,626.95,180.98,467.49,1264.18,684.85,1046.82,41.85,12,42.91,12.39,14.58,69.11,29.46,54.23,272.42,12,443.1,127.91,0.0,553.95,144.51,400.33,26.5,12,40.04,11.56,1.06,51.93,14.94,38.05,58,12,4.83,46.0,4.0,11.5,32.0,4.0,8.0,40.0,4.0,10.0
Summer 2022,Basak Can-Unsang MPA,45.5,8,43.56,15.4,9.08,81.92,30.1,60.9,22.12,8,9.0,3.18,14.6,29.65,18.94,25.31,19.88,8,11.36,4.02,10.38,29.37,15.86,23.89,130.0,8,88.45,31.27,56.05,203.95,98.73,161.27,956.38,8,257.27,90.96,741.29,1171.46,865.42,1047.33,1173.88,8,285.34,100.88,935.33,1412.42,1072.99,1274.76,35.57,8,18.08,6.39,20.45,50.68,29.17,41.96,318.5,8,153.03,54.1,190.56,446.44,264.4,372.6,22.65,8,14.14,5.0,10.84,34.47,17.66,27.65,55,8,6.88,38.0,3.0,12.67,36.0,2.0,18.0,44.0,3.0,14.67
Autumn 2022,Basak Can-Unsang MPA,37.86,7,27.02,10.21,12.87,62.85,27.64,48.07,34.57,7,9.54,3.6,25.75,43.39,30.97,38.18,24.43,7,7.81,2.95,17.21,31.65,21.48,27.38,219.0,7,107.35,40.58,119.71,318.29,178.42,259.58,2349.57,7,1793.17,677.75,691.17,4007.98,1671.82,3027.33,2665.43,7,1925.0,727.58,885.1,4445.76,1937.85,3393.01,85.25,7,102.99,38.93,0.0,180.5,46.33,124.18,1168.43,7,1572.43,594.32,0.0,2622.68,574.11,1762.75,64.04,7,99.67,37.67,0.0,156.23,26.37,101.72,58,7,8.29,46.0,3.0,15.33,41.0,3.0,13.67,44.0,1.0,44.0
Winter 22/23,Basak Can-Unsang MPA,17.0,11,6.16,1.86,12.86,21.14,15.14,18.86,12.36,11,11.84,3.57,4.41,20.32,8.79,15.93,12.45,11,10.4,3.13,5.47,19.44,9.32,15.59,77.09,11,40.39,12.18,49.96,104.22,64.91,89.27,641.27,11,284.47,85.77,450.16,832.39,555.5,727.05,760.18,11,287.59,86.71,566.98,953.39,673.47,846.89,33.26,11,19.11,5.76,20.42,46.1,27.49,39.02,289.82,11,309.11,93.2,82.16,497.48,196.62,383.02,16.22,11,15.35,4.63,5.9,26.53,11.59,20.85,48,11,4.36,29.0,3.0,9.67,40.0,4.0,10.0,42.0,4.0,10.5
Spring 2023,Basak Can-Unsang MPA,23.4,15,12.85,3.32,16.28,30.52,20.08,26.72,19.87,15,19.24,4.97,9.21,30.52,14.9,24.84,13.13,15,6.14,1.59,9.73,16.53,11.55,14.72,76.47,15,56.96,14.71,44.92,108.01,61.76,91.17,513.87,15,341.47,88.17,324.77,702.97,425.7,602.03,646.73,15,395.47,102.11,427.73,865.73,544.62,748.84,19.39,15,8.88,2.29,14.47,24.3,17.09,21.68,107.87,15,102.55,26.48,51.08,164.66,81.39,134.35,7.98,15,6.38,1.65,4.45,11.51,6.33,9.63,66,15,4.4,47.0,5.0,9.4,50.0,4.0,12.5,46.0,6.0,7.67
Summer 2023,Basak Can-Unsang MPA,16.28,18,9.18,2.16,11.71,20.84,14.11,18.44,14.83,18,13.23,3.12,8.25,21.41,11.71,17.95,18.39,18,38.58,9.09,0.0,37.57,9.3,27.48,82.28,18,64.62,15.23,50.14,114.41,67.05,97.51,762.94,18,329.14,77.58,599.26,926.62,685.36,840.52,894.72,18,378.73,89.27,706.39,1083.06,805.46,983.99,29.2,18,24.45,5.76,17.04,41.36,23.44,34.96,221.78,18,314.33,74.09,65.47,378.09,147.69,295.87,17.03,18,21.11,4.98,6.53,27.53,12.06,22.01,55,18,3.06,36.0,6.0,6.0,40.0,6.0,6.67,43.0,6.0,7.17
Autumn 2023,Basak Can-Unsang MPA,23.88,8,11.37,4.02,14.37,33.38,19.86,27.89,23.88,8,11.08,3.92,14.61,33.14,19.96,27.79,12.25,8,6.09,2.15,7.16,17.34,10.1,14.4,106.88,8,45.15,15.96,69.13,144.62,90.91,122.84,521.38,8,164.78,58.26,383.61,659.14,463.12,579.63,688.25,8,206.41,72.98,515.69,860.81,615.27,761.23,19.83,8,10.24,3.62,11.26,28.39,16.21,23.45,114.38,8,115.91,40.98,17.47,211.28,73.39,155.36,12.46,8,9.5,3.36,4.52,20.41,9.1,15.82,34,8,4.25,22.0,2.0,11.0,29.0,3.0,9.67,27.0,3.0,9.0
Winter 23/24,Basak Can-Unsang MPA,26.14,14,19.97,5.34,14.61,37.67,20.8,31.48,27.5,14,21.61,5.78,15.02,39.98,21.72,33.28,11.5,14,7.24,1.94,7.32,15.68,9.56,13.44,138.71,14,188.37,50.34,29.95,247.48,88.37,189.06,631.07,14,325.54,87.01,443.11,819.04,544.07,718.08,834.93,14,492.4,131.6,550.63,1119.23,703.33,966.53,29.81,14,26.57,7.1,14.47,45.15,22.71,36.91,267.79,14,320.56,85.67,82.7,452.87,182.11,353.46,20.99,14,24.68,6.6,6.74,35.24,14.39,27.59,34,14,2.43,28.0,5.0,5.6,28.0,5.0,5.6,31.0,4.0,7.75
Spring 2024,Basak Can-Unsang MPA,24.5,12,12.54,3.62,16.53,32.47,20.88,28.12,34.75,12,23.88,6.89,19.58,49.92,27.86,41.64,11.08,12,4.06,1.17,8.51,13.66,9.91,12.25,117.25,12,73.07,21.09,70.82,163.68,96.16,138.34,688.33,12,328.82,94.92,479.41,897.26,593.41,783.26,875.92,12,413.25,119.29,613.35,1138.48,756.62,995.21,40.73,12,31.09,8.98,20.98,60.49,31.76,49.71,241.75,12,220.09,63.54,101.91,381.59,178.21,305.29,25.6,12,28.31,8.17,7.61,43.59,17.42,33.77,37,12,3.08,28.0,4.0,7.0,29.0,5.0,5.8,32.0,3.0,10.67
Summer 2024,Basak Can-Unsang MPA,20.91,11,13.16,3.97,12.07,29.75,16.94,24.88,37.18,11,46.76,14.1,5.77,68.59,23.08,51.28,10.64,11,10.22,3.08,3.77,17.5,7.55,13.72,101.27,11,53.8,16.22,65.13,137.41,85.05,117.49,562.64,11,291.56,87.91,366.77,758.51,474.73,650.54,732.64,11,356.25,107.41,493.31,971.97,625.22,840.05,30.8,11,39.29,11.85,4.4,57.19,18.95,42.64,201.09,11,192.41,58.01,71.83,330.35,143.08,259.1,24.69,11,38.87,11.72,0.0,50.8,12.97,36.41,42,11,3.82,30.0,3.0,10.0,36.0,5.0,7.2,32.0,3.0,10.67
Autumn 2024,Basak Can-Unsang MPA,26.33,12,21.4,6.18,12.74,39.93,20.16,32.51,25.33,12,29.41,8.49,6.65,44.02,16.84,33.82,8.75,12,10.05,2.9,2.37,15.13,5.85,11.65,82.67,12,63.5,18.33,42.32,123.01,64.34,101.0,522.0,12,374.88,108.22,283.81,760.19,413.78,630.22,665.08,12,457.42,132.05,374.45,955.71,533.04,797.13,23.06,12,24.79,7.16,7.31,38.81,15.9,30.21,201.33,12,271.96,78.51,28.54,374.13,122.82,279.84,16.83,12,22.36,6.45,2.62,31.04,10.38,23.28,38,12,3.17,27.0,2.0,13.5,27.0,5.0,5.4,29.0,5.0,5.8
Winter 24/25,Basak Can-Unsang MPA,16.0,12,8.89,2.57,10.35,21.65,13.43,18.57,10.25,12,3.02,0.87,8.33,12.17,9.38,11.12,5.5,12,3.53,1.02,3.26,7.74,4.48,6.52,83.0,12,56.7,16.37,46.97,119.03,66.63,99.37,517.92,12,281.84,81.36,338.85,696.99,436.56,599.28,632.67,12,327.33,94.49,424.69,840.64,538.18,727.16,36.93,12,40.32,11.64,11.31,62.55,25.29,48.57,137.58,12,130.25,37.6,54.83,220.34,99.98,175.18,13.68,12,14.36,4.15,4.56,22.81,9.54,17.83,36,12,3.0,24.0,4.0,6.0,29.0,4.0,7.25,29.0,4.0,7.25
Spring 2025,Basak Can-Unsang MPA,12.08,12,5.04,1.45,8.88,15.28,10.63,13.54,11.17,12,5.61,1.62,7.6,14.73,9.55,12.78,9.0,12,6.59,1.9,4.81,13.19,7.1,10.9,119.75,12,111.12,32.08,49.15,190.35,87.67,151.83,515.92,12,270.14,77.98,344.28,687.55,437.93,593.9,667.92,12,331.57,95.72,457.25,878.59,572.2,763.63,36.05,12,53.97,15.58,1.76,70.33,20.47,51.62,149.33,12,179.92,51.94,35.02,263.65,97.4,201.27,27.97,12,52.67,15.21,0.0,61.43,12.76,43.17,32,12,2.67,19.0,4.0,4.75,26.0,4.0,6.5,30.0,4.0,7.5
Summer 2025,Basak Can-Unsang MPA,21.77,13,17.38,4.82,11.26,32.27,16.95,26.59,27.54,13,38.16,10.58,4.48,50.6,16.95,38.12,7.46,13,5.04,1.4,4.41,10.51,6.06,8.86,98.46,13,29.04,8.05,80.91,116.01,90.41,106.52,602.69,13,305.18,84.64,418.28,787.11,518.05,687.33,757.92,13,328.95,91.23,559.14,956.71,666.69,849.16,27.6,13,31.03,8.61,8.85,46.35,18.99,36.21,213.85,13,298.24,82.72,33.62,394.07,131.13,296.56,21.45,13,31.23,8.66,2.58,40.33,12.79,30.11,33,13,2.54,24.0,5.0,4.8,25.0,4.0,6.25,29.0,4.0,7.25
