Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,TURTLE HEAVEN,5.93,24.34,1.93,51.69,1.59
Winter 17/18,TURTLE HEAVEN,3.0,32.75,0.75,42.12,1.94
Spring 2018,TURTLE HEAVEN,8.91,36.27,1.27,30.45,2.14
Summer 2018,TURTLE HEAVEN,4.2,43.35,1.55,29.75,0.52
Autumn 2018,TURTLE HEAVEN,11.2,39.9,2.1,24.1,0.4
Winter 18/19,TURTLE HEAVEN,8.07,35.14,2.79,28.0,0.32
