Period,Site,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover,Bleaching
Autumn 2017,UNITY POINT,1.11,12.67,0.72,47.39,2.75
Winter 17/18,UNITY POINT,4.83,26.75,0.25,28.0,1.71
Spring 2018,UNITY POINT,2.32,41.37,0.21,21.37,0.08
Summer 2018,UNITY POINT,2.0,27.25,0.75,26.88,1.16
Autumn 2018,UNITY POINT,1.9,22.0,1.5,28.8,1.8
Winter 18/19,UNITY POINT,5.67,33.25,1.08,22.08,1.21
