Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Spring 2024,Maluay Malatapay MPA,36,11,3.27,22.0,3.0,7.33,23.0,4.0,5.75,24.0,4.0,6.0
Spring 2024,Salag MPA,35,10,3.5,21.0,3.0,7.0,20.0,4.0,5.0,17.0,3.0,5.67
Spring 2024,Santa Catalina Cawitan,17,3,5.67,17.0,3.0,5.67,,,,,,
Spring 2024,Santa Catalina Manalongon,12,3,4.0,12.0,3.0,4.0,,,,,,
Spring 2024,Basak Can-Unsang MPA,29,8,3.62,20.0,3.0,6.67,25.0,4.0,6.25,13.0,1.0,13.0
Summer 2024,Kookoos,29,6,4.83,19.0,2.0,9.5,19.0,2.0,9.5,18.0,2.0,9.0
Summer 2024,Latason MPA,33,8,4.12,29.0,4.0,7.25,26.0,4.0,6.5,,,
Summer 2024,Lutoban North MPA,42,10,4.2,33.0,3.0,11.0,29.0,4.0,7.25,26.0,3.0,8.67
Summer 2024,Lutoban South MPA,45,13,3.46,33.0,5.0,6.6,27.0,4.0,6.75,32.0,4.0,8.0
Summer 2024,Maluay Malatapay MPA,34,8,4.25,28.0,3.0,9.33,21.0,3.0,7.0,17.0,2.0,8.5
Summer 2024,Guinsuan MPA,23,5,4.6,,,,19.0,2.0,9.5,13.0,3.0,4.33
Summer 2024,Salag MPA,22,5,4.4,9.0,1.0,9.0,11.0,2.0,5.5,14.0,2.0,7.0
Summer 2024,Dalakit MPA,26,2,13.0,26.0,2.0,13.0,,,,,,
Summer 2024,Lutoban Pier,38,9,4.22,25.0,3.0,8.33,26.0,3.0,8.67,16.0,3.0,5.33
Summer 2024,Antulang,43,10,4.3,33.0,3.0,11.0,34.0,4.0,8.5,20.0,3.0,6.67
Summer 2024,Andulay MPA,41,11,3.73,37.0,5.0,7.4,32.0,5.0,6.4,11.0,1.0,11.0
Summer 2024,Basak Can-Unsang MPA,38,9,4.22,22.0,2.0,11.0,28.0,4.0,7.0,17.0,3.0,5.67
Autumn 2024,Lutoban North MPA,40,13,3.08,30.0,6.0,5.0,25.0,4.0,6.25,19.0,3.0,6.33
Autumn 2024,Lutoban Pier,31,11,2.82,20.0,3.0,6.67,19.0,4.0,4.75,22.0,4.0,5.5
Autumn 2024,Lutoban South MPA,37,14,2.64,28.0,5.0,5.6,24.0,5.0,4.8,23.0,4.0,5.75
Autumn 2024,Maluay Malatapay MPA,39,15,2.6,33.0,5.0,6.6,22.0,5.0,4.4,20.0,5.0,4.0
Autumn 2024,Salag MPA,30,13,2.31,20.0,5.0,4.0,20.0,4.0,5.0,17.0,4.0,4.25
Autumn 2024,Santa Catalina Cawitan,14,2,7.0,14.0,2.0,7.0,,,,,,
Autumn 2024,Santa Catalina Manalongon,15,4,3.75,15.0,4.0,3.75,,,,,,
Autumn 2024,Dalakit MPA,23,4,5.75,23.0,4.0,5.75,,,,,,
Autumn 2024,Basak Can-Unsang MPA,32,10,3.2,23.0,4.0,5.75,20.0,3.0,6.67,19.0,3.0,6.33
Autumn 2024,Latason MPA,28,7,4.0,24.0,4.0,6.0,20.0,3.0,6.67,,,
Autumn 2024,Andulay MPA,46,16,2.88,33.0,5.0,6.6,31.0,6.0,5.17,24.0,5.0,4.8
Autumn 2024,Antulang,36,11,3.27,30.0,4.0,7.5,23.0,3.0,7.67,27.0,4.0,6.75
Autumn 2024,Guinsuan MPA,31,12,2.58,21.0,4.0,5.25,20.0,4.0,5.0,14.0,4.0,3.5
Autumn 2024,Kookoos,28,14,2.0,16.0,4.0,4.0,19.0,5.0,3.8,21.0,5.0,4.2
Winter 24/25,Salag MPA,33,18,1.83,20.0,6.0,3.33,20.0,6.0,3.33,17.0,6.0,2.83
Winter 24/25,Mojon MPA,22,4,5.5,19.0,2.0,9.5,13.0,2.0,6.5,,,
Winter 24/25,Maluay Malatapay MPA,40,20,2.0,27.0,7.0,3.86,23.0,7.0,3.29,25.0,6.0,4.17
Winter 24/25,Dalakit MPA,22,4,5.5,22.0,4.0,5.5,,,,,,
Winter 24/25,Lutoban Pier,34,22,1.55,28.0,8.0,3.5,27.0,8.0,3.38,22.0,6.0,3.67
Winter 24/25,Lutoban North MPA,45,18,2.5,34.0,6.0,5.67,28.0,6.0,4.67,21.0,6.0,3.5
Winter 24/25,Andulay MPA,44,19,2.32,35.0,7.0,5.0,29.0,6.0,4.83,29.0,6.0,4.83
Winter 24/25,Antulang,39,18,2.17,29.0,6.0,4.83,25.0,6.0,4.17,32.0,6.0,5.33
Winter 24/25,Latason MPA,36,12,3.0,25.0,6.0,4.17,29.0,6.0,4.83,,,
Winter 24/25,Kookoos,36,18,2.0,25.0,6.0,4.17,24.0,6.0,4.0,24.0,6.0,4.0
Winter 24/25,Guinsuan MPA,32,12,2.67,26.0,4.0,6.5,15.0,4.0,3.75,16.0,4.0,4.0
Winter 24/25,Basak Can-Unsang MPA,27,12,2.25,17.0,4.0,4.25,19.0,4.0,4.75,22.0,4.0,5.5
Winter 24/25,Lutoban South MPA,49,19,2.58,32.0,7.0,4.57,30.0,6.0,5.0,31.0,6.0,5.17
Winter 24/25,Santa Catalina Cawitan,9,1,9.0,9.0,1.0,9.0,,,,,,
Winter 24/25,Santa Catalina Manalongon,3,1,3.0,3.0,1.0,3.0,,,,,,
Spring 2025,Santa Catalina Manalongon,25,8,3.12,25.0,8.0,3.12,,,,,,
Spring 2025,Santa Catalina Cawitan,15,4,3.75,15.0,4.0,3.75,,,,,,
Spring 2025,Salag MPA,35,18,1.94,20.0,6.0,3.33,24.0,6.0,4.0,23.0,6.0,3.83
Spring 2025,Mojon MPA,23,4,5.75,19.0,2.0,9.5,15.0,2.0,7.5,,,
Spring 2025,Maluay Malatapay MPA,40,18,2.22,30.0,6.0,5.0,24.0,6.0,4.0,26.0,6.0,4.33
Spring 2025,Lutoban South MPA,45,20,2.25,31.0,6.0,5.17,30.0,7.0,4.29,28.0,7.0,4.0
Spring 2025,Lutoban Pier,43,18,2.39,34.0,6.0,5.67,32.0,6.0,5.33,19.0,6.0,3.17
Spring 2025,Lutoban North MPA,36,19,1.89,28.0,6.0,4.67,30.0,7.0,4.29,19.0,6.0,3.17
Spring 2025,Latason MPA,34,12,2.83,28.0,6.0,4.67,24.0,6.0,4.0,,,
Spring 2025,Kookoos,39,18,2.17,27.0,6.0,4.5,28.0,6.0,4.67,24.0,6.0,4.0
Spring 2025,Guinsuan MPA,32,12,2.67,21.0,4.0,5.25,21.0,4.0,5.25,18.0,4.0,4.5
Spring 2025,Dalakit MPA,28,5,5.6,28.0,5.0,5.6,,,,,,
Spring 2025,Basak Can-Unsang MPA,33,12,2.75,26.0,4.0,6.5,26.0,4.0,6.5,20.0,4.0,5.0
Spring 2025,Andulay MPA,42,19,2.21,28.0,6.0,4.67,31.0,7.0,4.43,28.0,6.0,4.67
Spring 2025,Antulang,48,19,2.53,39.0,7.0,5.57,31.0,6.0,5.17,27.0,6.0,4.5
Summer 2025,Salag MPA,32,18,1.78,23.0,6.0,3.83,19.0,6.0,3.17,20.0,6.0,3.33
Summer 2025,Andulay MPA,43,27,1.59,39.0,9.0,4.33,34.0,9.0,3.78,28.0,9.0,3.11
Summer 2025,Antulang,41,18,2.28,30.0,6.0,5.0,33.0,6.0,5.5,26.0,6.0,4.33
Summer 2025,Basak Can-Unsang MPA,31,14,2.21,20.0,4.0,5.0,23.0,5.0,4.6,21.0,5.0,4.2
Summer 2025,Dalakit MPA,31,6,5.17,31.0,6.0,5.17,,,,,,
Summer 2025,Guinsuan MPA,28,14,2.0,20.0,5.0,4.0,18.0,5.0,3.6,19.0,4.0,4.75
Summer 2025,Kookoos,41,20,2.05,33.0,7.0,4.71,26.0,6.0,4.33,24.0,7.0,3.43
Summer 2025,Latason MPA,40,22,1.82,34.0,11.0,3.09,35.0,11.0,3.18,,,
Summer 2025,Lutoban North MPA,46,25,1.84,37.0,9.0,4.11,32.0,8.0,4.0,28.0,8.0,3.5
Summer 2025,Lutoban Pier,45,23,1.96,32.0,6.0,5.33,33.0,9.0,3.67,30.0,8.0,3.75
Summer 2025,Lutoban South MPA,42,26,1.62,31.0,8.0,3.88,39.0,9.0,4.33,26.0,9.0,2.89
Summer 2025,Maluay Malatapay MPA,43,24,1.79,34.0,7.0,4.86,28.0,9.0,3.11,29.0,8.0,3.62
Summer 2025,Mojon MPA,27,6,4.5,24.0,3.0,8.0,18.0,3.0,6.0,,,
