Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Winter 24/25,Andulay MPA,11.277777777777779,9.833333333333334,16.38888888888889,86.88888888888889,583.3888888888889,707.7777777777778,72.11111111111111,17.271038803907715,6.854233831195472
Winter 24/25,Antulang,13.0,10.052631578947368,17.68421052631579,60.26315789473684,537.5263157894736,359.7692307692308,27.692307692307693,5.062971725070145,1.3010269922969104
Winter 24/25,Basak Can-Unsang MPA,16.0,10.25,5.5,83.0,517.9166666666666,562.9444444444445,57.77777777777778,13.640578411078337,5.31043630892626
Winter 24/25,Dalakit MPA,5.0,19.25,7.0,86.75,335.5,548.7222222222222,62.666666666666664,15.057929854630105,5.677357079151626
Winter 24/25,Guinsuan MPA,10.333333333333334,14.0,11.583333333333334,70.0,425.8333333333333,509.3157894736842,56.473684210526315,12.535659534533218,5.090016213817788
Winter 24/25,Kookoos,11.11111111111111,11.61111111111111,7.222222222222222,47.833333333333336,485.1666666666667,638.5263157894736,59.36842105263158,16.617035744826413,8.078232606877469
Winter 24/25,Latason MPA,8.23076923076923,7.3076923076923075,8.0,16.53846153846154,319.6923076923077,524.0,172.05555555555554,20.889730331224815,15.118198869266934
Winter 24/25,Lutoban North MPA,10.833333333333334,14.0,9.722222222222221,85.38888888888889,428.77777777777777,632.6666666666666,137.58333333333334,36.93180605016919,13.682209720768173
Winter 24/25,Lutoban Pier,8.526315789473685,6.894736842105263,7.368421052631579,76.0,410.5263157894737,383.44444444444446,46.27777777777778,8.927091218431624,4.590366981508594
Winter 24/25,Lutoban South MPA,9.222222222222221,11.555555555555555,8.666666666666666,46.611111111111114,307.3888888888889,688.0,152.25,21.290472726080765,8.644481939839071
Winter 24/25,Maluay Malatapay MPA,7.222222222222222,15.222222222222221,11.944444444444445,82.05555555555556,407.55555555555554,531.75,59.75,19.740637229790412,12.20143113728299
Winter 24/25,Mojon MPA,7.5,11.75,18.75,174.25,475.75,599.1666666666666,139.61111111111111,14.580574479553357,9.199924035097155
Winter 24/25,Salag MPA,11.944444444444445,14.222222222222221,4.277777777777778,77.27777777777777,491.44444444444446,453.5,80.75,18.354363865846462,10.87809309321548
Winter 24/25,Santa Catalina Cawitan,11.0,18.5,6.5,23.0,52.5,111.5,38.5,3.054763900349618,1.375006898652246
