Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density
Autumn 2017,TURTLE HEAVEN,0.71,6.06,2.41,4.76,9.47,13.47
Winter 17/18,TURTLE HEAVEN,1.18,4.88,2.29,7.18,11.0,31.65
Summer 2018,TURTLE HEAVEN,0.5,4.88,0.83,1.54,5.42,40.45
Autumn 2018,TURTLE HEAVEN,0.44,4.06,1.56,6.44,6.5,50.36
Winter 18/19,TURTLE HEAVEN,0.42,3.25,0.58,6.42,3.42,18.5
