Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn 2017,Lutoban Pier,49.18,2,3.81,2.7,14.91,83.44,46.48,51.88,9.19,2,8.87,6.27,-70.52,88.9,2.92,15.46,8.92,2,1.23,0.87,-2.11,19.95,8.06,9.79,7.03,2,2.73,1.93,-17.53,31.58,5.09,8.96,2.3,2,2.37,1.68,-19.02,23.63,0.62,3.98
Winter 17/18,Lutoban Pier,53.15,3,11.09,6.41,25.59,80.71,46.74,59.55,9.17,3,4.35,2.51,-1.64,19.97,6.66,11.68,6.2,3,2.66,1.53,-0.4,12.81,4.67,7.74,4.12,3,1.49,0.86,0.43,7.81,3.26,4.98,1.2,3,0.76,0.44,-0.7,3.1,0.76,1.65
Spring 2018,Lutoban Pier,51.94,5,12.36,5.53,36.59,67.29,46.41,57.47,6.84,5,1.63,0.73,4.82,8.86,6.11,7.57,7.73,5,3.64,1.63,3.22,12.25,6.11,9.36,4.62,5,4.0,1.79,-0.35,9.59,2.83,6.41,3.25,5,4.83,2.16,-2.75,9.25,1.09,5.41
Summer 2018,Lutoban Pier,48.66,4,7.64,3.82,36.5,60.82,44.84,52.48,5.79,4,3.11,1.55,0.85,10.73,4.24,7.34,12.29,4,4.07,2.03,5.82,18.77,10.26,14.33,2.73,4,2.42,1.21,-1.12,6.58,1.52,3.94,13.67,4,14.73,7.37,-9.77,37.11,6.3,21.04
Autumn 2018,Lutoban Pier,45.73,4,14.21,7.11,23.11,68.35,38.62,52.84,11.9,4,2.52,1.26,7.89,15.91,10.64,13.16,12.06,4,6.0,3.0,2.5,21.61,9.05,15.06,4.4,4,3.03,1.51,-0.42,9.22,2.89,5.91,6.74,4,10.56,5.28,-10.06,23.55,1.47,12.02
Winter 18/19,Lutoban Pier,41.16,6,7.84,3.2,32.93,49.39,37.96,44.36,8.88,6,3.57,1.46,5.13,12.62,7.42,10.33,21.52,6,11.5,4.7,9.44,33.59,16.82,26.21,1.85,6,2.26,0.92,-0.52,4.22,0.93,2.77,3.16,6,5.29,2.16,-2.39,8.71,1.0,5.32
Spring 2019,Lutoban Pier,44.53,3,6.14,3.54,29.28,59.77,40.98,48.07,5.66,3,6.21,3.58,-9.76,21.08,2.08,9.24,24.42,3,14.18,8.19,-10.81,59.66,16.23,32.61,0.9,3,0.94,0.54,-1.43,3.24,0.36,1.45,3.96,3,6.86,3.96,-13.07,20.99,0.0,7.92
Summer 2019,Lutoban Pier,45.21,4,14.63,7.31,21.93,68.48,37.89,52.52,12.19,4,7.13,3.57,0.84,23.53,8.62,15.75,9.24,4,4.21,2.1,2.54,15.93,7.13,11.34,8.23,4,4.21,2.11,1.52,14.94,6.12,10.34,0.59,4,0.74,0.37,-0.58,1.76,0.22,0.96
Autumn 2019,Lutoban Pier,46.89,5,8.79,3.93,35.98,57.8,42.96,50.82,7.73,5,5.27,2.35,1.2,14.27,5.38,10.09,10.92,5,4.5,2.01,5.33,16.5,8.9,12.93,6.43,5,1.95,0.87,4.0,8.85,5.55,7.3,10.07,5,6.16,2.75,2.43,17.71,7.32,12.82
Winter 19/20,Lutoban Pier,46.38,5,8.53,3.82,35.78,56.97,42.56,50.19,12.4,5,8.88,3.97,1.37,23.43,8.43,16.38,12.32,5,6.66,2.98,4.05,20.59,9.34,15.3,2.12,5,1.96,0.88,-0.3,4.55,1.25,3.0,10.56,5,6.06,2.71,3.03,18.08,7.84,13.27
Spring 2021,Lutoban Pier,38.65,2,24.01,16.98,-177.09,254.39,21.67,55.62,10.73,2,3.68,2.6,-22.36,43.82,8.12,13.33,16.98,2,18.41,13.02,-148.47,182.42,3.96,30.0,5.42,2,0.59,0.42,0.12,10.71,5.0,5.83,12.19,2,11.34,8.02,-89.73,114.1,4.17,20.21
Spring 2022,Lutoban Pier,50.76,4,4.99,2.49,42.83,58.7,48.27,53.26,3.52,4,1.3,0.65,1.45,5.59,2.87,4.17,12.95,4,4.37,2.19,6.0,19.91,10.77,15.14,7.36,4,4.35,2.18,0.43,14.28,5.18,9.53,3.25,4,0.91,0.46,1.8,4.7,2.8,3.71
Summer 2022,Lutoban Pier,44.91,5,8.29,3.71,34.62,55.2,41.2,48.62,10.51,5,5.69,2.55,3.44,17.58,7.96,13.06,11.36,5,3.09,1.38,7.52,15.2,9.98,12.74,6.27,5,3.76,1.68,1.6,10.93,4.59,7.95,9.11,5,5.07,2.27,2.82,15.4,6.85,11.38
Autumn 2022,Lutoban Pier,36.46,5,6.7,2.99,28.14,44.77,33.46,39.45,8.43,5,6.42,2.87,0.46,16.4,5.56,11.3,14.24,5,5.33,2.38,7.62,20.85,11.85,16.62,8.1,5,7.17,3.21,-0.81,17.0,4.89,11.31,12.92,5,5.67,2.54,5.87,19.96,10.38,15.45
Winter 22/23,Lutoban Pier,55.03,6,5.13,2.09,49.65,60.42,52.94,57.13,3.3,6,2.46,1.0,0.72,5.88,2.29,4.3,13.33,6,4.92,2.01,8.17,18.49,11.33,15.34,5.56,6,2.23,0.91,3.21,7.9,4.64,6.47,8.96,6,11.95,4.88,-3.58,21.5,4.08,13.84
Spring 2023,Lutoban Pier,46.85,10,17.9,5.66,34.04,59.65,41.19,52.51,11.35,10,6.82,2.16,6.47,16.22,9.19,13.5,10.11,10,4.65,1.47,6.78,13.44,8.64,11.58,7.44,10,7.96,2.52,1.75,13.14,4.93,9.96,7.14,10,7.07,2.23,2.08,12.19,4.9,9.37
Summer 2023,Lutoban Pier,39.75,10,17.96,5.68,26.9,52.6,34.07,45.43,9.08,10,6.14,1.94,4.69,13.47,7.14,11.02,10.24,10,6.11,1.93,5.86,14.61,8.3,12.17,9.5,10,8.95,2.83,3.1,15.9,6.67,12.33,1.39,10,2.41,0.76,-0.33,3.12,0.63,2.15
Autumn 2023,Lutoban Pier,38.75,6,13.91,5.68,24.15,53.35,33.07,44.43,7.81,6,8.17,3.34,-0.76,16.39,4.48,11.15,18.89,6,4.38,1.79,14.29,23.49,17.1,20.68,9.1,6,8.24,3.36,0.45,17.74,5.73,12.46,1.15,6,1.41,0.57,-0.33,2.62,0.57,1.72
Winter 23/24,Lutoban Pier,42.97,4,6.68,3.34,32.34,53.61,39.63,46.31,9.44,4,2.93,1.47,4.78,14.11,7.98,10.91,14.17,4,0.76,0.38,12.96,15.38,13.79,14.55,9.17,4,4.84,2.42,1.47,16.88,6.75,11.59,0.74,4,0.9,0.45,-0.68,2.17,0.29,1.19
Spring 2024,Lutoban Pier,29.21,7,8.19,3.09,21.63,36.78,26.11,32.3,12.34,7,7.3,2.76,5.59,19.1,9.58,15.1,17.41,7,6.41,2.42,11.48,23.34,14.99,19.83,8.26,7,6.96,2.63,1.83,14.7,5.63,10.89,2.25,7,1.32,0.5,1.03,3.47,1.75,2.75
