Period,Site,Bleaching,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover
Autumn 2017,UNITY POINT,4.54,0.93,8.24,0.6,39.49
Winter 17/18,UNITY POINT,2.78,4.03,21.94,0.21,23.33
Spring 2018,UNITY POINT,0.09,1.93,32.72,0.18,17.81
Summer 2018,UNITY POINT,1.67,1.67,18.7,0.62,22.4
Autumn 2018,UNITY POINT,2.58,1.58,16.92,1.25,24.0
Winter 18/19,UNITY POINT,1.6,4.72,26.81,0.9,18.4
