Period,Site,Bleaching,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover
Autumn 2017,TURTLE HEAVEN,2.5,4.94,16.7,1.61,43.07
Winter 17/18,TURTLE HEAVEN,2.92,2.5,18.23,0.62,35.1
Spring 2018,TURTLE HEAVEN,2.5,7.42,29.55,1.06,25.38
Summer 2018,TURTLE HEAVEN,0.75,3.5,28.46,1.29,24.79
Autumn 2018,TURTLE HEAVEN,0.67,9.33,30.42,1.75,20.08
Winter 18/19,TURTLE HEAVEN,0.3,6.73,25.95,2.32,23.33
