Period,Site,Bleaching,Rubble Cover,Fresh Algae Cover,Soft Coral Cover,Hard Coral Cover
Autumn 2017,Antulang,2.5,4.53,9.58,9.17,42.45
Winter 17/18,Antulang,1.46,7.08,10.83,6.04,31.87
Spring 2018,Antulang,0.36,5.27,21.93,7.05,28.07
Summer 2018,Antulang,2.64,9.44,24.31,11.53,26.94
Autumn 2018,Antulang,1.39,6.18,16.53,10.14,29.93
Winter 18/19,Antulang,2.78,4.61,24.11,9.17,27.33
Spring 2019,Antulang,1.04,6.67,22.36,5.62,23.89
Summer 2019,Antulang,1.39,13.78,16.61,9.83,21.22
Autumn 2019,Antulang,1.77,9.84,19.53,6.72,22.81
Winter 19/20,Antulang,4.61,4.94,23.89,6.22,25.78
Summer 2022,Antulang,6.77,5.36,26.3,6.2,22.86
Autumn 2022,Antulang,13.89,7.22,24.1,5.76,18.06
Winter 22/23,Antulang,3.89,7.85,24.93,7.29,17.43
Spring 2023,Antulang,4.26,9.63,21.99,6.44,18.89
Summer 2023,Antulang,1.22,12.05,19.17,8.14,16.47
Autumn 2023,Antulang,0.73,12.71,25.21,6.04,21.98
Winter 23/24,Antulang,0.24,8.93,22.8,7.68,15.36
Spring 2024,Antulang,2.97,5.89,21.56,7.45,21.15
Summer 2024,Antulang,1.27,10.09,25.26,5.26,19.3
Autumn 2024,Antulang,1.74,10.21,17.22,6.25,21.74
Winter 24/25,Antulang,0.68,7.08,20.05,7.03,23.7
Spring 2025,Antulang,2.38,7.96,25.67,4.58,23.04
Summer 2025,Antulang,1.13,10.92,17.04,5.75,26.29
