Period,Site,Species Richness,Number of Surveys,Average Species Richness,Species Richness Shallow,Number of Surveys Shallow,Average Species Richness Shallow,Species Richness Medium,Number of Surveys Medium,Average Species Richness Medium,Species Richness Deep,Number of Surveys Deep,Average Species Richness Deep
Spring/Summer 22,Latason MPA,30,7,4.29,26.0,4.0,6.5,17.0,3.0,5.67,,,
Autumn/Winter 22/23,Latason MPA,43,13,3.31,34.0,6.0,5.67,36.0,7.0,5.14,,,
Spring/Summer 23,Latason MPA,44,24,1.83,33.0,12.0,2.75,36.0,12.0,3.0,,,
Autumn/Winter 23/24,Latason MPA,34,14,2.43,26.0,7.0,3.71,26.0,7.0,3.71,,,
Spring/Summer 24,Latason MPA,38,12,3.17,29.0,6.0,4.83,31.0,6.0,5.17,,,
Autumn/Winter 24/25,Latason MPA,39,19,2.05,32.0,10.0,3.2,32.0,9.0,3.56,,,
Spring/Summer 25,Latason MPA,44,34,1.29,40.0,17.0,2.35,38.0,17.0,2.24,,,
